colorvalue, FLOOR_PROX_WHEEL_LEFT, FLOOR_PROX_FRONT_LEFT, FLOOR_PROX_FRONT_RIGHT, FLOOR_PROX_WHEEL_RIGHT
0,  4610,  5023,  5313,  4628
0,  4609,  5018,  5316,  4624
0,  4603,  5020,  5315,  4630
0,  4603,  5020,  5314,  4626
0,  4609,  4972,  5315,  4631
0,  4601,  5022,  5324,  4631
0,  4602,  5029,  5319,  4981
0,  4607,  5027,  5322,  4627
0,  4606,  5032,  5322,  4621
0,  4607,  5029,  5320,  4624
0,  4601,  5023,  5321,  4633
0,  4617,  5025,  5318,  4624
0,  4607,  5031,  5322,  4620
0,  4612,  5025,  5322,  4625
0,  4605,  5032,  5323,  4621
0,  4613,  5385,  5355,  4617
0,  4608,  4752,  4946,  4627
0,  4621,  5029,  5319,  4613
0,  4610,  5029,  5322,  4620
0,  4608,  5025,  5323,  4618
0,  4611,  5031,  5324,  4621
0,  4607,  5031,  5325,  4617
0,  4611,  5030,  5327,  4620
0,  4613,  5028,  5323,  4623
0,  4613,  5028,  5323,  4614
0,  4615,  5031,  5316,  4618
0,  4611,  5028,  5321,  4616
0,  4565,  5018,  5319,  4617
0,  4607,  5022,  5322,  4614
0,  4615,  5025,  5318,  4621
0,  4650,  5025,  5318,  4619
0,  4619,  5024,  5319,  4618
0,  4613,  5028,  5321,  4630
0,  4617,  5022,  5321,  4617
0,  4616,  5029,  5318,  4617
0,  4614,  5024,  5322,  4620
0,  4609,  5031,  5320,  4622
0,  4611,  5027,  5318,  4617
0,  4618,  5023,  5321,  4626
0,  4616,  5028,  5318,  4618
0,  4617,  5041,  5158,  4622
0,  4617,  5520,  5647,  4622
0,  4610,  5028,  5319,  4612
0,  4616,  5027,  5321,  4615
0,  4617,  5026,  5316,  4619
0,  4615,  5024,  5315,  4617
0,  4612,  5026,  5318,  4618
0,  4616,  5029,  5320,  4608
0,  4613,  5031,  5321,  4617
0,  4618,  5025,  5320,  4615
0,  4617,  5024,  5323,  4620
0,  4616,  5025,  5316,  4612
0,  4621,  5029,  5319,  4618
0,  4612,  5033,  5323,  4622
0,  4614,  5027,  5324,  4623
0,  4624,  5033,  5322,  4615
0,  4615,  5033,  5325,  4623
0,  4618,  5028,  5321,  4609
0,  4622,  5025,  5323,  4613
0,  4611,  5027,  5326,  4611
0,  4615,  5032,  5323,  4608
0,  4621,  5032,  5322,  4610
0,  4621,  5026,  5321,  4620
0,  4617,  5028,  5319,  4714
0,  4620,  5030,  5317,  4609
0,  4621,  5029,  5327,  4612
0,  4621,  5035,  5324,  4609
0,  4617,  5028,  5324,  4598
0,  4614,  5032,  5322,  4620
0,  4617,  5028,  5319,  4612
0,  4617,  5032,  5317,  4605
0,  4620,  5024,  5323,  4614
0,  4674,  5026,  5323,  4611
0,  4616,  5023,  5327,  4613
0,  4617,  4933,  4986,  4613
0,  4621,  5025,  5325,  4614
0,  4617,  5029,  5326,  4610
0,  4621,  5031,  5321,  4615
0,  4622,  5029,  5326,  4608
0,  4615,  5000,  5321,  4612
0,  4624,  5029,  5327,  4609
0,  4617,  5030,  5331,  4604
0,  4616,  5033,  5323,  4614
0,  4620,  5034,  5325,  4611
0,  4619,  5026,  5326,  4603
0,  4559,  5027,  5320,  4606
0,  4618,  5031,  5325,  4612
0,  4623,  5030,  5326,  4607
0,  4618,  5030,  5324,  4341
0,  4621,  5026,  5320,  4612
0,  4618,  5031,  5320,  4608
0,  4618,  5027,  5321,  4609
0,  4620,  5027,  5323,  4617
0,  4621,  5027,  5319,  4609
0,  4622,  5028,  5323,  4616
0,  4612,  5035,  5323,  4606
0,  4620,  5028,  5325,  4620
0,  4614,  5030,  5325,  4611
0,  4617,  5025,  5326,  4603
0,  4616,  4661,  5325,  4609
0,  4615,  5025,  5321,  4604
0,  4620,  5028,  5326,  4610
0,  4619,  5028,  5318,  4609
0,  4655,  5027,  5322,  4598
0,  4625,  5030,  5326,  4610
0,  4621,  5027,  5325,  4612
0,  4598,  5029,  5323,  4608
0,  4615,  5027,  5518,  4608
0,  4529,  5008,  5322,  4610
0,  4619,  5029,  5327,  4612
0,  4658,  5026,  5325,  4609
0,  4620,  5031,  5325,  4611
0,  4615,  5025,  5325,  4604
0,  4621,  5022,  5323,  4441
0,  4620,  5029,  5326,  4607
0,  4613,  5032,  5326,  4609
0,  5143,  5029,  5325,  4596
0,  4618,  5025,  5320,  4612
0,  4614,  5027,  5323,  4616
0,  4617,  5027,  5297,  4602
0,  4620,  5026,  5327,  4614
0,  4617,  5032,  5324,  4610
0,  4618,  5027,  5323,  4619
0,  4613,  5026,  5320,  4617
0,  4617,  5031,  5320,  4606
0,  4618,  5028,  5313,  4610
0,  4619,  5024,  5322,  4610
0,  4614,  5031,  5318,  4617
0,  4616,  5030,  5325,  4611
0,  4597,  5026,  5314,  4610
0,  4614,  5028,  5323,  4613
0,  4675,  5028,  5323,  4613
0,  4615,  4994,  4720,  4604
0,  4620,  5030,  5320,  4617
0,  4618,  5028,  5320,  4608
0,  4616,  5031,  5317,  4605
0,  4618,  4969,  5321,  4619
0,  4615,  5029,  5319,  4610
0,  4612,  5028,  5319,  4612
0,  4621,  5028,  5322,  4611
0,  4618,  5033,  5320,  4612
0,  4625,  5028,  5324,  4608
0,  4620,  5032,  5323,  4587
0,  4611,  5029,  5323,  4608
0,  4614,  5030,  5321,  4608
0,  4626,  5021,  5317,  4606
0,  4622,  5024,  5324,  4611
0,  4620,  5029,  5323,  4604
0,  4620,  5030,  5321,  4620
0,  4614,  5026,  5318,  4623
0,  4615,  5028,  5320,  4611
0,  4618,  5026,  5321,  4613
0,  4613,  5035,  5323,  4614
0,  4623,  5034,  5323,  4610
0,  4619,  5028,  5288,  4606
0,  4617,  5033,  5320,  4611
0,  4617,  5034,  5321,  4606
0,  4621,  5028,  5322,  4610
0,  4615,  5030,  5322,  4615
0,  4619,  5024,  5323,  4609
0,  4663,  5031,  5321,  4609
0,  4611,  5031,  5320,  4612
0,  4615,  5029,  5324,  4609
0,  4618,  5032,  5326,  4625
0,  4616,  5029,  5327,  4610
0,  4614,  4713,  5260,  4610
0,  4619,  5029,  5325,  4599
0,  4616,  5025,  5322,  4613
0,  4631,  5033,  5322,  4614
0,  4616,  5024,  5323,  4607
0,  4619,  5029,  5323,  4608
0,  4619,  5026,  5325,  4612
0,  4613,  5030,  5329,  4604
0,  4614,  5031,  5322,  4619
0,  4612,  5028,  5325,  4608
0,  4618,  5027,  5318,  4608
0,  4620,  5027,  5325,  4609
0,  4617,  5026,  5321,  4611
0,  4624,  5025,  5323,  4613
0,  4614,  5030,  5325,  4615
0,  4617,  5030,  5319,  4612
0,  4617,  5024,  5321,  4608
0,  4615,  5030,  5325,  4603
0,  4625,  5026,  5326,  4595
0,  4850,  5030,  5328,  4606
0,  4618,  5030,  5323,  4616
0,  4619,  5032,  5326,  4612
0,  4581,  5025,  5324,  4605
0,  4613,  5030,  5323,  4603
0,  4615,  5051,  5321,  4608
0,  4617,  5027,  5319,  4601
0,  4620,  5033,  5323,  4608
0,  4618,  5034,  5325,  4606
0,  4619,  5033,  5323,  4611
0,  4617,  5031,  5323,  4611
0,  4618,  5029,  5319,  4605
0,  4621,  5028,  5322,  4610
0,  4616,  5026,  5324,  4611
0,  4613,  5735,  5799,  4604
0,  4622,  5030,  5319,  4605
8,  4570,  5267,  5541,  4432
8,  4594,  5292,  5543,  4444
8,  4571,  5265,  5546,  4445
8,  4573,  5267,  5542,  4436
8,  4572,  5264,  5546,  4447
8,  4568,  5267,  5546,  4442
8,  4566,  5265,  5544,  4434
8,  4572,  4966,  5680,  4445
8,  4571,  5269,  5545,  4440
8,  4564,  5263,  5548,  4430
8,  4568,  5268,  5549,  4443
8,  4565,  5263,  5551,  4436
